"run_dir","model","llm_provider","urgency_mae","urgency_qwk","urgency_high_f1","urgency_high_auc","boundary_crossing_rate","weighted_mae","cost_sensitive","category_accuracy","category_macro_f1","category_micro_f1","category_jaccard","category_macro_auc","category_micro_auc","calibration_ece","calibration_mce","prediction_sha256","checkpoint_sha256"
"20260224_210533_llm_joint","Qwen/Qwen3-4B","huggingface",0.865,0.5421299005266238,0.34782608695652173,0.5529340592861464,0.12,1.14,1.44,0.22,0.24341212744090443,0.4763636363636364,0.40625,0.6922566176289179,0.7851148732558988,0.21962447786132,0.9047619047619047,"f0e10d7194d0b860ff3801d1af71fcd299066acf719ae083bee3a7b9088a8825","e5df0b2132d0ea1af35ef191386d663d7258489b0bc3e576631389f0ad403aee"
"20260225_033802_llm_joint","deepseek-ai/DeepSeek-R1-Distill-Llama-8B","huggingface",1.905,-0.013587752710225498,0.10989010989010989,0.43819318410969954,0.19,2.57,3.445,0.275,0.3535437964868598,0.6072727272727273,0.52375,0.673619161944525,0.7351751406238586,0.18690656565656566,0.8287878787878786,"ddc1b170dffdbf7591540213d94a1cb2263bd3b7bbdcb4a8550c82528483b10d","366a6ed9d8b2a7872b088e218e3dee69b28c537ed5a1df052db8b3ee2fc25dbc"
"20260225_215803_llm_joint","mistralai/Mistral-7B-Instruct-v0.3","huggingface",1.04,0.23097679438747976,0.0,0.5773341399475701,0.135,1.37,1.56,0.305,0.38259850474843404,0.6145454545454545,0.54375,0.6557253085266861,0.7544606983709548,0.15482556917503842,0.9600000000000001,"3eacae938e0198b16c13e323331cc9b10786818da5048cd367a6f4a6b512f348","b8702d9a29d996da6d0e7d6bb38b9ecc0633ffd46bd771ed138181b59370c44f"
"20260226_001105_llm_joint","tiiuae/Falcon3-7B-Instruct","huggingface",1.225,0.30414574206646017,0.18,0.4576527525710829,0.325,1.865,1.495,0.17,0.22614024316868045,0.46545454545454545,0.37375,0.6877647556204324,0.6584415406530791,0.09864893852277754,0.8,"9b0d24f372a63b63cf58f702525c054ac5aef65a242f4f1fd2d13524f0949ad0","2f8ec88c2b217fe5fc4ac9ecc7e5803db684f2b8cc58d4c89d568b1fd2b8f610"
"20260226_005937_llm_joint","tiiuae/Falcon3-7B-Instruct","huggingface",1.225,0.30414574206646017,0.18,0.4576527525710829,0.325,1.865,1.495,0.17,0.22614024316868045,0.46545454545454545,0.37375,0.6877647556204324,0.6584415406530791,0.09864893852277754,0.8,"9b0d24f372a63b63cf58f702525c054ac5aef65a242f4f1fd2d13524f0949ad0","2f8ec88c2b217fe5fc4ac9ecc7e5803db684f2b8cc58d4c89d568b1fd2b8f610"
"20260226_011432_llm_joint","google/gemma-2-9b-it","huggingface",2.26,0.0,0.0,0.5,0.145,2.925,4.52,0.01,0.03398363750786658,0.09818181818181818,0.04125,0.5,0.5,0.18833333333333327,0.18833333333333327,"b4164cc18a1e7ea735cee5476c3419ac2157b7f3cf096d68349fd40ec0037518","0a363bd49b4ac549422530bfdbd207ae9cbd88dfc0c7875acf4a0bfd32c16044"
"20260226_014648_llm_joint","meta-llama/Meta-Llama-3.1-8B-Instruct","huggingface",0.72,0.643480045142095,0.3181818181818182,0.6317806009276064,0.14,0.995,1.18,0.205,0.3273814694622148,0.5127272727272727,0.43,0.6949047663665878,0.7856011213383008,0.0875,0.9499999999999998,"d12dace3860686df4abdc803e5545a61283ca3fc68f340f5b88c4ed9d69770af","d6c2e9e109ef91db2cfe59a605f7e77bb71efc409bba868d08b8df5ea177348f"
"20260226_195021_llm_joint","Qwen/Qwen2.5-14B-Instruct","huggingface",0.865,0.4073207738019977,0.2727272727272727,0.7859447469247831,0.195,1.28,1.33,0.225,0.2928979188420896,0.5636363636363636,0.46875,0.7175137875805869,0.7686121155672437,0.09699999999999999,0.4333333333333334,"094c71c165257f410ec39fc36f123a1f519c5939c71782c86037af5bf52c316b","5649267ba0e9459d61d7f77b0dbf768d3ef94112e732e4ed7c012ac9f3bf8564"
"20260226_200422_llm_joint","Qwen/Qwen2.5-14B-Instruct","huggingface",0.865,0.4073207738019977,0.2727272727272727,0.7859447469247831,0.195,1.28,1.33,0.225,0.2928979188420896,0.5636363636363636,0.46875,0.7175137875805869,0.7686121155672437,0.09699999999999999,0.4333333333333334,"094c71c165257f410ec39fc36f123a1f519c5939c71782c86037af5bf52c316b","5649267ba0e9459d61d7f77b0dbf768d3ef94112e732e4ed7c012ac9f3bf8564"
